Ticker,,,,,
stock,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,
2018-09-27,Bullish,Bullish,Bullish,Bullish,Neutral
2018-09-28,Bearish,Bearish,Bullish,Bullish,Neutral
2018-10-01,Bearish,Bearish,Bullish,Bullish,Neutral
2018-10-02,Bearish,Bearish,Bullish,Bullish,Neutral
2018-10-03,Bearish,Bearish,Bullish,Bullish,Neutral
2018-10-04,Bearish,Bearish,Neutral,Bullish,Neutral
2018-10-05,Bearish,Bearish,Neutral,Bullish,Neutral
2018-10-08,Bearish,Bearish,Neutral,Bullish,Neutral
2018-10-09,Bearish,Bearish,Neutral,Bullish,Neutral
2018-10-10,Neutral,Neutral,Neutral,Bearish,Bullish
2018-10-11,Neutral,Neutral,Neutral,Bearish,Bullish
2018-10-12,Neutral,Neutral,Neutral,Bearish,Bullish
2018-10-15,Neutral,Neutral,Neutral,Bearish,Bullish
2018-10-16,Neutral,Neutral,Neutral,Bearish,Bullish
2018-10-17,Neutral,Neutral,Neutral,Neutral,Bullish
2018-10-18,Neutral,Neutral,Neutral,Neutral,Bullish
2018-10-19,Neutral,Neutral,Neutral,Neutral,Bullish
2018-10-22,Neutral,Neutral,Neutral,Neutral,Bullish
2018-10-23,Neutral,Neutral,Neutral,Neutral,Bullish
2018-10-24,Neutral,Neutral,Bearish,Bearish,Bullish
2018-10-25,Neutral,Neutral,Bearish,Bearish,Bullish
2018-10-26,Neutral,Neutral,Bearish,Bearish,Bullish
2018-10-29,Neutral,Neutral,Bearish,Bearish,Bullish
2018-10-30,Neutral,Neutral,Bearish,Bearish,Bullish
2018-10-31,Neutral,Neutral,Bearish,Bearish,Bullish
2018-11-01,Neutral,Neutral,Bearish,Neutral,Bullish
2018-11-02,Neutral,Neutral,Bearish,Neutral,Bullish
2018-11-05,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-06,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-07,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-08,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-09,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-12,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-13,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-14,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-15,Neutral,Neutral,Neutral,Neutral,Bearish
